,open,high,low,close,adjclose,volume,ticker
1993-01-29,43.96875,43.96875,43.75,43.9375,26.07965850830078,1003200,SPY
1993-02-01,43.96875,44.25,43.96875,44.25,26.26514434814453,480500,SPY
1993-02-02,44.21875,44.375,44.125,44.34375,26.320781707763672,201300,SPY
1993-02-03,44.40625,44.84375,44.375,44.8125,26.599014282226562,529400,SPY
1993-02-04,44.96875,45.09375,44.46875,45.0,26.710311889648438,531500,SPY
1993-02-05,44.96875,45.0625,44.71875,44.96875,26.691770553588867,492100,SPY
1993-02-08,44.96875,45.125,44.90625,44.96875,26.691770553588867,596100,SPY
1993-02-09,44.8125,44.8125,44.5625,44.65625,26.506263732910156,122100,SPY
1993-02-10,44.65625,44.75,44.53125,44.71875,26.543376922607422,379600,SPY
1993-02-11,44.78125,45.125,44.78125,44.9375,26.67321014404297,19500,SPY
1993-02-12,44.875,44.875,44.59375,44.59375,26.46918296813965,42500,SPY
1993-02-16,44.46875,44.46875,43.40625,43.46875,25.801420211791992,374800,SPY
1993-02-17,43.46875,43.53125,43.28125,43.4375,25.78287696838379,210900,SPY
1993-02-18,43.9375,43.9375,42.8125,43.40625,25.764320373535156,378100,SPY
1993-02-19,43.40625,43.5625,43.34375,43.5625,25.8570613861084,34900,SPY
1993-02-22,43.6875,43.78125,43.5625,43.71875,25.94980239868164,513600,SPY
1993-02-23,43.84375,43.875,43.46875,43.6875,25.93126106262207,373700,SPY
1993-02-24,43.71875,44.25,43.71875,44.25,26.26514434814453,26300,SPY
1993-02-25,44.21875,44.375,44.125,44.34375,26.320781707763672,44500,SPY
1993-02-26,44.4375,44.4375,44.1875,44.40625,26.357892990112305,66200,SPY
1993-03-01,44.5625,44.5625,44.21875,44.28125,26.283687591552734,66500,SPY
1993-03-02,44.3125,44.9375,44.25,44.9375,26.67321014404297,182400,SPY
1993-03-03,45.0,45.15625,44.9375,45.125,26.784517288208008,280100,SPY
1993-03-04,45.1875,45.1875,44.875,44.875,26.63611602783203,89500,SPY
1993-03-05,44.9375,45.125,44.71875,44.75,26.56191062927246,40000,SPY
1993-03-08,44.84375,45.75,44.84375,45.75,27.15546989440918,50800,SPY
1993-03-09,45.65625,45.6875,45.5,45.59375,27.062747955322266,169300,SPY
1993-03-10,45.59375,45.6875,45.40625,45.6875,27.11837387084961,194400,SPY
1993-03-11,45.71875,45.84375,45.5,45.5625,27.044179916381836,70900,SPY
1993-03-12,45.1875,45.21875,44.8125,45.09375,26.765968322753906,643600,SPY
1993-03-15,45.0625,45.3125,45.0625,45.3125,26.895801544189453,310800,SPY
1993-03-16,45.3125,45.4375,45.3125,45.3125,26.895801544189453,30800,SPY
1993-03-17,45.25,45.25,44.96875,45.03125,26.72885513305664,21800,SPY
1993-03-18,45.21875,45.5,45.21875,45.3125,26.895801544189453,59300,SPY
1993-03-19,45.28125,45.28125,45.03125,45.03125,26.855091094970703,66900,SPY
1993-03-22,44.59375,44.875,44.5625,44.78125,26.70601463317871,183400,SPY
1993-03-23,44.90625,44.9375,44.8125,44.875,26.761911392211914,55200,SPY
1993-03-24,44.8125,45.0625,44.59375,44.875,26.761911392211914,37200,SPY
1993-03-25,44.90625,45.25,44.84375,45.15625,26.929643630981445,110100,SPY
1993-03-26,45.125,45.15625,44.875,44.90625,26.780536651611328,101500,SPY
1993-03-29,44.9375,45.3125,44.9375,45.09375,26.892370223999023,87100,SPY
1993-03-30,45.15625,45.21875,45.09375,45.21875,26.96693229675293,56000,SPY
1993-03-31,45.34375,45.46875,45.1875,45.1875,26.94828224182129,111600,SPY
1993-04-01,45.25,45.25,44.9375,45.03125,26.855091094970703,129500,SPY
1993-04-02,44.65625,44.65625,44.09375,44.09375,26.296005249023438,59400,SPY
1993-04-05,44.4375,44.4375,44.1875,44.3125,26.42646026611328,172200,SPY
1993-04-06,44.40625,44.40625,44.0625,44.1875,26.3519229888916,129700,SPY
1993-04-07,44.25,44.34375,44.15625,44.34375,26.445087432861328,28000,SPY
1993-04-08,44.53125,44.53125,44.09375,44.28125,26.407827377319336,180800,SPY
1993-04-12,44.71875,44.9375,44.65625,44.90625,26.780536651611328,348500,SPY
1993-04-13,44.875,45.15625,44.84375,45.0,26.83646011352539,146100,SPY
1993-04-14,45.03125,45.0625,44.90625,44.9375,26.7991886138916,119600,SPY
1993-04-15,44.90625,45.03125,44.75,44.9375,26.7991886138916,148600,SPY
1993-04-16,44.96875,45.03125,44.875,44.9375,26.7991886138916,47900,SPY
1993-04-19,44.9375,45.0625,44.71875,44.75,26.6873722076416,157000,SPY
1993-04-20,44.6875,44.75,44.25,44.53125,26.556921005249023,279500,SPY
1993-04-21,44.625,44.625,44.375,44.5,26.53827476501465,67900,SPY
1993-04-22,44.3125,44.6875,43.9375,43.9375,26.20282554626465,97700,SPY
1993-04-23,43.84375,43.96875,43.6875,43.75,26.09101104736328,106000,SPY
1993-04-26,43.78125,43.9375,43.28125,43.40625,25.886005401611328,62600,SPY
1993-04-27,43.34375,43.875,43.34375,43.875,26.165557861328125,156800,SPY
1993-04-28,43.8125,43.90625,43.71875,43.78125,26.109634399414062,85900,SPY
1993-04-29,43.875,43.96875,43.625,43.96875,26.221471786499023,85000,SPY
1993-04-30,44.125,44.28125,44.03125,44.03125,26.25872802734375,88500,SPY
